time,invocations_per_instance,invocations_total
0,0,0
1,16521.73913,16521.73913
2,25113.04348,25113.04348
3,25113.04348,25113.04348
4,25443.47826,25443.47826
5,25443.47826,25443.47826
6,26104.34783,26104.34783
7,25443.47826,25443.47826
8,24452.17391,24452.17391
9,25113.04348,25113.04348
10,25443.47826,25443.47826
11,40973.91304,40973.91304
12,43286.95652,43286.95652
13,43947.82609,43947.82609
14,44278.26087,44278.26087
15,44278.26087,44278.26087
16,46591.30435,46591.30435
17,44278.26087,44278.26087
18,44608.69565,44608.69565
19,43947.82609,43947.82609
20,44278.26087,44278.26087
21,47582.6087,47582.6087
22,46921.73913,46921.73913
23,47582.6087,47582.6087
24,46921.73913,46921.73913
25,37339.13043,70713.04348
26,37008.69565,74017.3913
27,37008.69565,74678.26087
28,37339.13043,75008.69565
29,38000,75339.13043
30,38330.43478,74017.3913
31,38000,75339.13043
32,37339.13043,74017.3913
33,37008.69565,74017.3913
34,36347.82609,72695.65217
35,36347.82609,73686.95652
36,4956.521739,10573.91304
